#COUNT_SHARED
id,GB_KY888033-A_SWINE_KANSAS_A01378019_2017-SEGMENT_7,GB_KY970168-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_7,GB_MF116361-A_SWINE_KANSAS_A01378027_2017-SEGMENT_7,GB_MF373219-A_SWINE_IOWA_A01672518_2017-SEGMENT_7,GB_MF373236-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_7,GB_MF373266-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_7,GB_MF373284-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_7,GB_MF373296-A_SWINE_IOWA_A01672342_2017-SEGMENT_7,GB_MF373302-A_SWINE_IOWA_A01672415_2017-SEGMENT_7,GB_MF373308-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_7,GB_MF522000-A_SWINE_IOWA_A01672824_2017-SEGMENT_7,GB_MF522012-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_7,GB_MF522036-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_7,GB_MF522042-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_7,GB_MF522054-A_SWINE_INDIANA_A01672825_2017-SEGMENT_7,GB_MF522066-A_SWINE_IOWA_A01932420_2017-SEGMENT_7,GB_MF522072-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_7,GB_MF664405-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_7,GB_MF716909-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_7,GB_MF716939-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_7,GB_MF801450-A_SWINE_OHIO_A01354304_2017-SEGMENT_7,GB_MF801456-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_7,GB_MF801500-A_SWINE_IOWA_A01667089_2017-SEGMENT_7,GB_MF801520-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_7,GB_MF801526-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_7,GB_MF801532-A_SWINE_OHIO_A02214229_2017-SEGMENT_7,GB_MF801540-A_SWINE_OHIO_A01354305_2017-SEGMENT_7,GB_MF801558-A_SWINE_IOWA_A01667091_2017-SEGMENT_7,GB_MF801578-A_SWINE_IOWA_A01667088_2017-SEGMENT_7,GB_MF801596-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_7,GB_MF973288-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_7,GB_MF973294-A_SWINE_IOWA_A02214835_2017-SEGMENT_7,GB_MF973318-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_7,GB_MF973348-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_7,GB_MF973354-A_SWINE_INDIANA_A02214845_2017-SEGMENT_7,GB_MF973360-A_SWINE_IOWA_A02214479_2017-SEGMENT_7,GB_MF973372-A_SWINE_TEXAS_A02214607_2017-SEGMENT_7,GB_MF973378-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_7,GB_MF973396-A_SWINE_OHIO_A02214848_2017-SEGMENT_7,GB_MG193779-A_SWINE_IOWA_A02215202_2017-SEGMENT_7,GB_MG193791-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_7,GB_MG193797-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_7,GB_MG193811-A_SWINE_IOWA_A02216046_2017-SEGMENT_7,GB_MG193849-A_SWINE_IOWA_A02216044_2017-SEGMENT_7,GB_MG193861-A_SWINE_IOWA_A02216456_2017-SEGMENT_7,GB_MG193873-A_SWINE_OHIO_A02215367_2017-SEGMENT_7,GB_MG193895-A_SWINE_IOWA_A02215041_2017-SEGMENT_7,GB_MG193907-A_SWINE_IOWA_A02215038_2017-SEGMENT_7,GB_MG521004-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_7,GB_MG521010-A_SWINE_IOWA_A02217313_2017-SEGMENT_7,GB_MG521028-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_7,GB_MG521034-A_SWINE_INDIANA_A02216644_2017-SEGMENT_7,GB_MG521046-A_SWINE_OHIO_A02216472_2017-SEGMENT_7,GB_MG521052-A_SWINE_IOWA_A02217282_2017-SEGMENT_7,GB_MG521112-A_SWINE_INDIANA_A02218180_2017-SEGMENT_7,GB_MG521120-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_7,GB_MG650646-A_SWINE_IOWA_A02218171_2017-SEGMENT_7,GB_MG662557-A_SWINE_IOWA_A02218755_2017-SEGMENT_7,GB_MG662575-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_7,GB_MG662605-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_7,GB_MG662643-A_SWINE_IOWA_A01104104_2017-SEGMENT_7,GB_MG662661-A_SWINE_IOWA_A02218750_2017-SEGMENT_7,GB_MG662681-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_7,GB_MG784566-A_SWINE_IOWA_A02221505_2017-SEGMENT_7,GB_MG784572-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_7,GB_MG784584-A_SWINE_IOWA_A02221508_2017-SEGMENT_7,GB_MG784596-A_SWINE_IOWA_A02221506_2017-SEGMENT_7,GB_MG784620-A_SWINE_OHIO_A02219547_2017-SEGMENT_7,GB_MG784632-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_7,GB_MG784650-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_7,GB_MG835457-A_SWINE_KANSAS_A01378037_2017-SEGMENT_7,GB_MG912584-A_SWINE_KANSAS_A01378038_2017-SEGMENT_7,VACCINE_EPITOPES_CLASSII-NTC8682-ERNA41H-1SOJII,
VACCINE_EPITOPES_CLASSII-NTC8682-ERNA41H-1SOJII,40,40,40,40,40,35,40,40,40,40,36,40,35,37,40,35,40,40,40,40,40,40,40,40,40,34,40,35,40,40,35,38,36,40,40,36,35,40,40,40,40,40,40,35,40,34,40,40,40,40,40,34,37,40,40,40,35,40,40,40,40,31,35,34,40,35,40,40,35,40,40,40,311,
#RAW_SHARED
id,GB_KY888033-A_SWINE_KANSAS_A01378019_2017-SEGMENT_7,GB_KY970168-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_7,GB_MF116361-A_SWINE_KANSAS_A01378027_2017-SEGMENT_7,GB_MF373219-A_SWINE_IOWA_A01672518_2017-SEGMENT_7,GB_MF373236-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_7,GB_MF373266-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_7,GB_MF373284-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_7,GB_MF373296-A_SWINE_IOWA_A01672342_2017-SEGMENT_7,GB_MF373302-A_SWINE_IOWA_A01672415_2017-SEGMENT_7,GB_MF373308-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_7,GB_MF522000-A_SWINE_IOWA_A01672824_2017-SEGMENT_7,GB_MF522012-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_7,GB_MF522036-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_7,GB_MF522042-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_7,GB_MF522054-A_SWINE_INDIANA_A01672825_2017-SEGMENT_7,GB_MF522066-A_SWINE_IOWA_A01932420_2017-SEGMENT_7,GB_MF522072-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_7,GB_MF664405-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_7,GB_MF716909-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_7,GB_MF716939-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_7,GB_MF801450-A_SWINE_OHIO_A01354304_2017-SEGMENT_7,GB_MF801456-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_7,GB_MF801500-A_SWINE_IOWA_A01667089_2017-SEGMENT_7,GB_MF801520-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_7,GB_MF801526-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_7,GB_MF801532-A_SWINE_OHIO_A02214229_2017-SEGMENT_7,GB_MF801540-A_SWINE_OHIO_A01354305_2017-SEGMENT_7,GB_MF801558-A_SWINE_IOWA_A01667091_2017-SEGMENT_7,GB_MF801578-A_SWINE_IOWA_A01667088_2017-SEGMENT_7,GB_MF801596-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_7,GB_MF973288-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_7,GB_MF973294-A_SWINE_IOWA_A02214835_2017-SEGMENT_7,GB_MF973318-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_7,GB_MF973348-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_7,GB_MF973354-A_SWINE_INDIANA_A02214845_2017-SEGMENT_7,GB_MF973360-A_SWINE_IOWA_A02214479_2017-SEGMENT_7,GB_MF973372-A_SWINE_TEXAS_A02214607_2017-SEGMENT_7,GB_MF973378-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_7,GB_MF973396-A_SWINE_OHIO_A02214848_2017-SEGMENT_7,GB_MG193779-A_SWINE_IOWA_A02215202_2017-SEGMENT_7,GB_MG193791-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_7,GB_MG193797-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_7,GB_MG193811-A_SWINE_IOWA_A02216046_2017-SEGMENT_7,GB_MG193849-A_SWINE_IOWA_A02216044_2017-SEGMENT_7,GB_MG193861-A_SWINE_IOWA_A02216456_2017-SEGMENT_7,GB_MG193873-A_SWINE_OHIO_A02215367_2017-SEGMENT_7,GB_MG193895-A_SWINE_IOWA_A02215041_2017-SEGMENT_7,GB_MG193907-A_SWINE_IOWA_A02215038_2017-SEGMENT_7,GB_MG521004-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_7,GB_MG521010-A_SWINE_IOWA_A02217313_2017-SEGMENT_7,GB_MG521028-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_7,GB_MG521034-A_SWINE_INDIANA_A02216644_2017-SEGMENT_7,GB_MG521046-A_SWINE_OHIO_A02216472_2017-SEGMENT_7,GB_MG521052-A_SWINE_IOWA_A02217282_2017-SEGMENT_7,GB_MG521112-A_SWINE_INDIANA_A02218180_2017-SEGMENT_7,GB_MG521120-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_7,GB_MG650646-A_SWINE_IOWA_A02218171_2017-SEGMENT_7,GB_MG662557-A_SWINE_IOWA_A02218755_2017-SEGMENT_7,GB_MG662575-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_7,GB_MG662605-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_7,GB_MG662643-A_SWINE_IOWA_A01104104_2017-SEGMENT_7,GB_MG662661-A_SWINE_IOWA_A02218750_2017-SEGMENT_7,GB_MG662681-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_7,GB_MG784566-A_SWINE_IOWA_A02221505_2017-SEGMENT_7,GB_MG784572-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_7,GB_MG784584-A_SWINE_IOWA_A02221508_2017-SEGMENT_7,GB_MG784596-A_SWINE_IOWA_A02221506_2017-SEGMENT_7,GB_MG784620-A_SWINE_OHIO_A02219547_2017-SEGMENT_7,GB_MG784632-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_7,GB_MG784650-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_7,GB_MG835457-A_SWINE_KANSAS_A01378037_2017-SEGMENT_7,GB_MG912584-A_SWINE_KANSAS_A01378038_2017-SEGMENT_7,VACCINE_EPITOPES_CLASSII-NTC8682-ERNA41H-1SOJII,
VACCINE_EPITOPES_CLASSII-NTC8682-ERNA41H-1SOJII,38.29232,38.29232,38.29232,38.29232,38.29232,33.54572,38.29232,38.29232,38.29232,38.29232,34.41118,38.29232,33.54572,35.45613,38.29232,33.54572,38.29232,38.29232,38.32112,38.32112,38.32112,38.29232,38.29232,38.29232,38.29232,32.63428,38.32112,33.54572,38.29232,38.29232,33.54572,36.44827,34.41118,38.29232,38.29232,34.41118,33.54572,38.29232,38.29232,38.29232,38.29232,38.32112,38.29232,33.54572,38.29232,32.63428,38.29232,38.29232,38.29232,38.29232,38.29232,32.63428,35.45613,38.29232,38.32112,38.32112,33.54572,38.29232,38.29232,38.29232,38.29232,29.76906,33.54572,32.63428,38.29232,33.54572,38.29232,38.29232,33.54572,38.29232,38.29232,38.29232,297.62496,
#NORM_SHARED
id,GB_KY888033-A_SWINE_KANSAS_A01378019_2017-SEGMENT_7,GB_KY970168-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_7,GB_MF116361-A_SWINE_KANSAS_A01378027_2017-SEGMENT_7,GB_MF373219-A_SWINE_IOWA_A01672518_2017-SEGMENT_7,GB_MF373236-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_7,GB_MF373266-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_7,GB_MF373284-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_7,GB_MF373296-A_SWINE_IOWA_A01672342_2017-SEGMENT_7,GB_MF373302-A_SWINE_IOWA_A01672415_2017-SEGMENT_7,GB_MF373308-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_7,GB_MF522000-A_SWINE_IOWA_A01672824_2017-SEGMENT_7,GB_MF522012-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_7,GB_MF522036-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_7,GB_MF522042-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_7,GB_MF522054-A_SWINE_INDIANA_A01672825_2017-SEGMENT_7,GB_MF522066-A_SWINE_IOWA_A01932420_2017-SEGMENT_7,GB_MF522072-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_7,GB_MF664405-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_7,GB_MF716909-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_7,GB_MF716939-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_7,GB_MF801450-A_SWINE_OHIO_A01354304_2017-SEGMENT_7,GB_MF801456-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_7,GB_MF801500-A_SWINE_IOWA_A01667089_2017-SEGMENT_7,GB_MF801520-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_7,GB_MF801526-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_7,GB_MF801532-A_SWINE_OHIO_A02214229_2017-SEGMENT_7,GB_MF801540-A_SWINE_OHIO_A01354305_2017-SEGMENT_7,GB_MF801558-A_SWINE_IOWA_A01667091_2017-SEGMENT_7,GB_MF801578-A_SWINE_IOWA_A01667088_2017-SEGMENT_7,GB_MF801596-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_7,GB_MF973288-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_7,GB_MF973294-A_SWINE_IOWA_A02214835_2017-SEGMENT_7,GB_MF973318-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_7,GB_MF973348-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_7,GB_MF973354-A_SWINE_INDIANA_A02214845_2017-SEGMENT_7,GB_MF973360-A_SWINE_IOWA_A02214479_2017-SEGMENT_7,GB_MF973372-A_SWINE_TEXAS_A02214607_2017-SEGMENT_7,GB_MF973378-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_7,GB_MF973396-A_SWINE_OHIO_A02214848_2017-SEGMENT_7,GB_MG193779-A_SWINE_IOWA_A02215202_2017-SEGMENT_7,GB_MG193791-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_7,GB_MG193797-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_7,GB_MG193811-A_SWINE_IOWA_A02216046_2017-SEGMENT_7,GB_MG193849-A_SWINE_IOWA_A02216044_2017-SEGMENT_7,GB_MG193861-A_SWINE_IOWA_A02216456_2017-SEGMENT_7,GB_MG193873-A_SWINE_OHIO_A02215367_2017-SEGMENT_7,GB_MG193895-A_SWINE_IOWA_A02215041_2017-SEGMENT_7,GB_MG193907-A_SWINE_IOWA_A02215038_2017-SEGMENT_7,GB_MG521004-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_7,GB_MG521010-A_SWINE_IOWA_A02217313_2017-SEGMENT_7,GB_MG521028-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_7,GB_MG521034-A_SWINE_INDIANA_A02216644_2017-SEGMENT_7,GB_MG521046-A_SWINE_OHIO_A02216472_2017-SEGMENT_7,GB_MG521052-A_SWINE_IOWA_A02217282_2017-SEGMENT_7,GB_MG521112-A_SWINE_INDIANA_A02218180_2017-SEGMENT_7,GB_MG521120-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_7,GB_MG650646-A_SWINE_IOWA_A02218171_2017-SEGMENT_7,GB_MG662557-A_SWINE_IOWA_A02218755_2017-SEGMENT_7,GB_MG662575-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_7,GB_MG662605-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_7,GB_MG662643-A_SWINE_IOWA_A01104104_2017-SEGMENT_7,GB_MG662661-A_SWINE_IOWA_A02218750_2017-SEGMENT_7,GB_MG662681-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_7,GB_MG784566-A_SWINE_IOWA_A02221505_2017-SEGMENT_7,GB_MG784572-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_7,GB_MG784584-A_SWINE_IOWA_A02221508_2017-SEGMENT_7,GB_MG784596-A_SWINE_IOWA_A02221506_2017-SEGMENT_7,GB_MG784620-A_SWINE_OHIO_A02219547_2017-SEGMENT_7,GB_MG784632-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_7,GB_MG784650-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_7,GB_MG835457-A_SWINE_KANSAS_A01378037_2017-SEGMENT_7,GB_MG912584-A_SWINE_KANSAS_A01378038_2017-SEGMENT_7,VACCINE_EPITOPES_CLASSII-NTC8682-ERNA41H-1SOJII,
VACCINE_EPITOPES_CLASSII-NTC8682-ERNA41H-1SOJII,.01433,.015,.01437,.015,.015,.01314,.015,.015,.015,.015,.01348,.015,.01314,.01389,.015,.01314,.015,.015,.01502,.01502,.01502,.015,.015,.015,.015,.01279,.01502,.01314,.015,.015,.01314,.01428,.01348,.015,.015,.01348,.01314,.015,.015,.015,.015,.01502,.015,.01314,.015,.01279,.015,.015,.015,.015,.015,.01279,.01389,.015,.01502,.01502,.01314,.015,.015,.015,.015,.01166,.01314,.01279,.015,.01314,.015,.015,.01314,.015,.01437,.01437,.08965,
#COUNT_VAX_UNQ
id,GB_KY888033-A_SWINE_KANSAS_A01378019_2017-SEGMENT_7,GB_KY970168-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_7,GB_MF116361-A_SWINE_KANSAS_A01378027_2017-SEGMENT_7,GB_MF373219-A_SWINE_IOWA_A01672518_2017-SEGMENT_7,GB_MF373236-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_7,GB_MF373266-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_7,GB_MF373284-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_7,GB_MF373296-A_SWINE_IOWA_A01672342_2017-SEGMENT_7,GB_MF373302-A_SWINE_IOWA_A01672415_2017-SEGMENT_7,GB_MF373308-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_7,GB_MF522000-A_SWINE_IOWA_A01672824_2017-SEGMENT_7,GB_MF522012-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_7,GB_MF522036-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_7,GB_MF522042-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_7,GB_MF522054-A_SWINE_INDIANA_A01672825_2017-SEGMENT_7,GB_MF522066-A_SWINE_IOWA_A01932420_2017-SEGMENT_7,GB_MF522072-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_7,GB_MF664405-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_7,GB_MF716909-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_7,GB_MF716939-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_7,GB_MF801450-A_SWINE_OHIO_A01354304_2017-SEGMENT_7,GB_MF801456-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_7,GB_MF801500-A_SWINE_IOWA_A01667089_2017-SEGMENT_7,GB_MF801520-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_7,GB_MF801526-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_7,GB_MF801532-A_SWINE_OHIO_A02214229_2017-SEGMENT_7,GB_MF801540-A_SWINE_OHIO_A01354305_2017-SEGMENT_7,GB_MF801558-A_SWINE_IOWA_A01667091_2017-SEGMENT_7,GB_MF801578-A_SWINE_IOWA_A01667088_2017-SEGMENT_7,GB_MF801596-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_7,GB_MF973288-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_7,GB_MF973294-A_SWINE_IOWA_A02214835_2017-SEGMENT_7,GB_MF973318-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_7,GB_MF973348-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_7,GB_MF973354-A_SWINE_INDIANA_A02214845_2017-SEGMENT_7,GB_MF973360-A_SWINE_IOWA_A02214479_2017-SEGMENT_7,GB_MF973372-A_SWINE_TEXAS_A02214607_2017-SEGMENT_7,GB_MF973378-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_7,GB_MF973396-A_SWINE_OHIO_A02214848_2017-SEGMENT_7,GB_MG193779-A_SWINE_IOWA_A02215202_2017-SEGMENT_7,GB_MG193791-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_7,GB_MG193797-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_7,GB_MG193811-A_SWINE_IOWA_A02216046_2017-SEGMENT_7,GB_MG193849-A_SWINE_IOWA_A02216044_2017-SEGMENT_7,GB_MG193861-A_SWINE_IOWA_A02216456_2017-SEGMENT_7,GB_MG193873-A_SWINE_OHIO_A02215367_2017-SEGMENT_7,GB_MG193895-A_SWINE_IOWA_A02215041_2017-SEGMENT_7,GB_MG193907-A_SWINE_IOWA_A02215038_2017-SEGMENT_7,GB_MG521004-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_7,GB_MG521010-A_SWINE_IOWA_A02217313_2017-SEGMENT_7,GB_MG521028-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_7,GB_MG521034-A_SWINE_INDIANA_A02216644_2017-SEGMENT_7,GB_MG521046-A_SWINE_OHIO_A02216472_2017-SEGMENT_7,GB_MG521052-A_SWINE_IOWA_A02217282_2017-SEGMENT_7,GB_MG521112-A_SWINE_INDIANA_A02218180_2017-SEGMENT_7,GB_MG521120-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_7,GB_MG650646-A_SWINE_IOWA_A02218171_2017-SEGMENT_7,GB_MG662557-A_SWINE_IOWA_A02218755_2017-SEGMENT_7,GB_MG662575-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_7,GB_MG662605-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_7,GB_MG662643-A_SWINE_IOWA_A01104104_2017-SEGMENT_7,GB_MG662661-A_SWINE_IOWA_A02218750_2017-SEGMENT_7,GB_MG662681-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_7,GB_MG784566-A_SWINE_IOWA_A02221505_2017-SEGMENT_7,GB_MG784572-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_7,GB_MG784584-A_SWINE_IOWA_A02221508_2017-SEGMENT_7,GB_MG784596-A_SWINE_IOWA_A02221506_2017-SEGMENT_7,GB_MG784620-A_SWINE_OHIO_A02219547_2017-SEGMENT_7,GB_MG784632-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_7,GB_MG784650-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_7,GB_MG835457-A_SWINE_KANSAS_A01378037_2017-SEGMENT_7,GB_MG912584-A_SWINE_KANSAS_A01378038_2017-SEGMENT_7,VACCINE_EPITOPES_CLASSII-NTC8682-ERNA41H-1SOJII,
